FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Empire,General Romodi,,,,"Arquitens
Light Cruiser",Captain Needa,"Dual Turbolaser 
Turrets",,,,,,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Dual Turbolaser 
Turrets",,,,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Dual Turbolaser 
Turrets",,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Dual Turbolaser 
Turrets",,,,,Gladiator 1,Demolisher,Skilled First Officer,Ordnance Experts,"Assault Proton 
Torpedoes",,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,383,TIE Fighter,TIE Fighter,,,,,,,,,,,,,,,,,16,399,
Empire,Admiral Motti,Advanced Gunnery,Contested Outpost,Doomed Station,ISD 2,Captain Needa,Boarding Troopers,"Electronic 
Countermeasures",Leading Shots,"Quad Battery 
Turrets",,,,,,,"Interdictor
Suppression",Interdictor,Governor Pryce,Disposable Capacitors,Overload Pulse,Grav Shift Reroute,"G-8 Experimental
 Projector",,,,"Quasar
Fire 1",Pursuant,"Emperor Palpatine
(Officer)",Boarding Troopers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,TIE Interceptor,TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,,,,,,44,394,
Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,
Empire,Admiral Ozzel,Advanced Gunnery,Hyperspace Assault,Superior Positions,ISD 2,Captain Needa,Flight Controllers,"Expanded 
Hangar Bay","Electronic 
Countermeasures",Point Defense Ion Cannons,,,,,,,Gladiator 1,Demolisher,Skilled First Officer,Ordnance Experts,External Racks,,,,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Defender,TIE Defender,TIE Bomber,,,,,,,,,,,134,400,
Republic,Bail Organa,Most Wanted,Planetary Ion Cannon,Infested Fields,Acclamator 1,Clone Navigation Officer,Flight Controllers,Flag Bridge,Boosted Comms,"Linked Turbolaser
Towers",Mercy Mission,,,,,,Acclamator 2,Implacable,Intel Officer,Clone Gunners,Thermal Shields,External Racks,"Linked Turbolaser
Towers",,,,Pelta Transport,Projection Experts,Munitions Resupply,,,,,,Charger c70,Swift Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)","V-19
(Kickback)",,,,,,,,,,,,,,,80,399,
Separatist,Count Dooku,Surprise Attack,Contested Outpost,Infested Fields,"Recusant-class 
Support Destroyer",Gilded Aegis,Chart Officer,Boarding Troopers,"Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Chart Officer,Boarding Troopers,"Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,"Hardcell-class
Transport",Projection Experts,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,"Belbullab-22
(Wat Tambor)","Belbullab-22
(General Grievous)","Droid Tri-Fighter
(DIS-T81)","Droid Tri-Fighter
(Phlac-Arphocc)",Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,92,399,
Republic,Bail Organa,,,,Venator 1,Resolute,Clone Captain Zak,Ordnance Experts,SPHA-T,External Racks,XI7 Turbolasers,Mercy Mission,,,,,Acclamator 1,Nevoota Bee,Clone Navigation Officer,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,"Consular Armed
Cruiser",Radiant VII,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,"Delta-7
(Anakin Skywalker)","Delta-7
(Plo Koon)",V-19,V-19,V-19,V-19,V-19,V-19,,,,,,,,,,,120,400,
Rebel,Krysta Agate,Most Wanted,Contested Outpost,Dangerous Territory,"MC80 Star
Cruiser",Mon Karren,Intel Officer,Gunnery Team,Engine Techs,SW-7 Ion Batteries,"Linked Turbolaser
Towers",Spinal Armament,,,,,CR90-A,Jaina's Light,Sabine Wren,"Turbolaser Reroute 
Circuits",,,,,,,"Nebulon-B
Support",Lando Calrissian,"Linked Turbolaser
Towers",,,,,,"GR-75 Combat
Retrofits",Bright Hope,Ezra Bridger,"Reserve
Hangar Deck",Slicer Tools,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Boosted Comms,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,Z-95,Z-95,"Lancer-class 
Pursuit Craft","Lancer-class 
Pursuit Craft",,,,,,,,,,,,,,,44,399,
Rebel,General Cracken,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,,,,,"MC30c
Scout",Foresight,Expert Shield Tech,Ordnance Experts,"Reinforced 
Blast Doors","Assault Proton 
Torpedoes","Linked Turbolaser
Towers",,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","X-wing (Rogue 
Squadron)",YT-2400,YT-2400,YT-2400,,,,,,,,,,,,,95,394,
Empire,Admiral Ozzel,Most Wanted,Hyperspace Assault,Superior Positions,ISD 2,"Emperor Palpatine
(Officer)",Flight Controllers,"Electronic 
Countermeasures","Ion Cannon 
Batteries","Linked Turbolaser
Towers",,,,,,,"Arquitens
Command Cruiser",Centicore,Commander Woldar,"Auxiliary 
Shield Teams",Advanced Projectors,"Linked Turbolaser
Towers",,,,,"Gozanti
Cruisers",Admiral Titus,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","Punishing One 
(Dengar)",TIE Defender,TIE Defender,,,,,,,,,,,,,118,396,
Empire,Admiral Ozzel,,,,"Onager Star 
Destroyer",Intel Officer,Sensor Team,"Weapons Battery
Techs",XI7 Turbolasers,"Superheavy Composite
Beam Turbolasers",,,,,,,ISD Kuat,Expert Shield Tech,"Darth Vader 
(Boarding)","Electronic 
Countermeasures",Leading Shots,External Racks,,,,,"Gozanti
Cruisers",Suppressor,Minister Tua,"Reserve
Hangar Deck","Electronic 
Countermeasures",Slicer Tools,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,TIE Interceptor,TIE Interceptor,,,,,,,,,,,,,,,,,22,400,
Rebel,Krysta Agate,Most Wanted,Contested Outpost,Doomed Station,Starhawk 2,Unity,Intel Officer,Flight Commander,"Caitken and 
Shollan",Flag Bridge,Leading Shots,"Linked Turbolaser
Towers","Intensify
Firepower",,,,"GR-75 Medium
Transports",Bright Hope,Major Derlin,Slicer Tools,,,,,,,"GR-75 Medium
Transports",Ezra Bridger,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,"Millennium Falcon 
(Lando Calrissian)","E-wing (Corran 
Horn)","Outrider (Dash 
Rendar)","Lancer-class 
Pursuit Craft",YT-2400,YT-2400,,,,,,,,,,,,,116,393,
Rebel,Admiral Ackbar,,,,"Assault Frigate
Mk2B",Ahsoka Tano (reb),Veteran Gunners,"Reserve
Hangar Deck","Electronic 
Countermeasures",Slaved Turrets,,,,,,,"Assault Frigate
Mk2B",Intel Officer,"Caitken and 
Shollan","Reserve
Hangar Deck","Electronic 
Countermeasures",Slaved Turrets,,,,,CR90-A,Jaina's Light,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,"GR-75 Medium
Transports",Hondo Ohnaka,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",YT-2400,Z-95,Z-95,,,,,,,,,,,,,86,399,
Separatist,Count Dooku,,,,"Munificent-class
Comms Frigate",Projection Experts,"Linked Turbolaser
Towers",,,,,,,,,,"Providence-class 
Dreadnought",Invincible,Rune Haako,Boarding Troopers,Thermal Shields,Point Defense Ion Cannons,External Racks,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Tikkes,Flight Controllers,"Reserve
Hangar Deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,48,398,
Republic,Luminara Unduli,,,,"Consular Armed
Cruiser",Radiant VII,Comms Net,,,,,,,,,,Venator 2,Local Fire Control,SPHA-T,Thermal Shields,External Racks,XI7 Turbolasers,,,,,Pelta Transport,Projection Experts,"Electronic 
Countermeasures",Parts Resupply,,,,,Pelta Transport,Projection Experts,"Electronic 
Countermeasures",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)","V-19
(Kickback)",,,,,,,,,,,,,,,80,393,
Rebel,Admiral Ackbar,,,,"Assault Frigate
Mk2B",Raymus Antilles,Gunnery Team,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,"MC30c
Scout",Foresight,Walex Blissex,Gunnery Team,"Linked Turbolaser
Towers",,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Bright Hope,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",A-wing,"Lancer-class 
Pursuit Craft",YT-2400,YT-2400,,,,,,,,,,,,,91,400,
Empire,Admiral Motti,Precision Strike,Hyperspace Assault,Superior Positions,"Quasar
Fire 2",Admiral Chiraneau,Ruthless Strategists,Boosted Comms,,,,,,,,,Gladiator 2,Demolisher,Agent Kallus,Ruthless Strategists,External Racks,,,,,,Raider 1,Impetuous,Ruthless Strategists,External Racks,,,,,"Gozanti
Cruisers",Suppressor,Minister Tua,"Expanded 
Hangar Bay","Electronic 
Countermeasures","Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,"TIE Bomber 
(Gamma Squadron)",TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,,,,,,,,100,391,
Separatist,Mar Tuuk,Most Wanted,Asteroid Tactics,Infested Fields,"Providence-class 
Carrier",Invincible,Rune Haako,Thermal Shields,"Early Warning
System",External Racks,Point Defense Ion Cannons,H9 Turbolasers,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Intel Officer,Ordnance Experts,External Racks,Swivel-Mount Batteries,,,,,Gozanti (CIS),Tikkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,"Belbullab-22
(Wat Tambor)","Droid Tri-Fighter
(DIS-T81)",Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,83,396,
Empire,Admiral Sloane,Advanced Gunnery,Fighter Ambush,Superior Positions,"Quasar
Fire 1",Pursuant,Taskmaster Grint,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,,ISD Kuat,"Emperor Palpatine
(Officer)","Darth Vader 
(Boarding)","Electronic 
Countermeasures",Leading Shots,External Racks,,,,,"Gozanti
Cruisers",Hondo Ohnaka,Boosted Comms,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Advanced 
(Zertik Strom)","TIE Interceptor 
(Saber Squadron)",TIE Defender,TIE Defender,TIE Defender,,,,,,,,,,,131,397,
Empire,Admiral Piett,,,,"Star Dreadnought
Assault Prototype",Ravager,Captain Brunson,Agent Kallus,Governor Pryce,Gunnery Team,Quad Laser Turrets,"Point Defense 
Reroute",SW-7 Ion Batteries,"Heavy Ion
Emplacements","Quad Turbolaser 
Cannons","Linked Turbolaser
Towers","Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,"Gozanti
Cruisers",Hondo Ohnaka,Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,0,398,
Republic,Bail Organa,,,,Pelta Transport,Projection Experts,Munitions Resupply,,,,,,,,,,Venator 2,Tranquility,Ordnance Experts,SPHA-T,Thermal Shields,Ordnance Pods,DBY-827 Heavy Turbolasers,,,,Acclamator 2,Ordnance Experts,Thermal Shields,Ordnance Pods,Swivel-Mount Batteries,,,,Acclamator 2,Ordnance Experts,Thermal Shields,Ordnance Pods,Swivel-Mount Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,0,393,
Separatist,TF-1726,,,,"Munificent-class
Comms Frigate",Rune Haako,Projection Experts,"Reserve
Hangar Deck",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Tikkes,Ordnance Experts,B2 Rocket Troopers,"Assault Proton 
Torpedoes","Linked Turbolaser
Towers",,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Linked Turbolaser
Towers",,,,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,399,
Separatist,Mar Tuuk,Blockade Run,Fire Lanes,Solar Corona,"Hardcell-class
Battle Refit","Early Warning
System",Slaved Turrets,,,,,,,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Tikkes,Veteran Gunners,Quad Laser Turrets,Swivel-Mount Batteries,,,,,"Munificent-class
Star Frigate",Thermal Shields,"High-Capacity 
Ion Turbines","Linked Turbolaser
Towers",,,,,"Munificent-class
Star Frigate",Thermal Shields,"High-Capacity 
Ion Turbines","Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,
Republic,Luminara Unduli,Surprise Attack,Capture the VIP,Superior Positions,Venator 2,Tranquility,Expert Shield Tech,Ruthless Strategists,Flag Bridge,Thermal Shields,External Racks,"Linked Turbolaser
Towers",Mercy Mission,,,,Pelta Medical,Skilled First Officer,Projection Experts,"Expanded 
Hangar Bay","Bomber Command 
Center",,,,,,"Consular Armed
Cruiser",Hondo Ohnaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)","V-19
(Kickback)",BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,130,395,
Empire,Admiral Motti,,,,Raider 1,Corvus,"Darth Vader 
(Officer)",,,,,,,,,,ISD Cymoon,Captain Needa,"Turbolaser Reroute 
Circuits",XI7 Turbolasers,"Intensify
Firepower",,,,,,Venator 2 (Imp),"Admiral Ozzel
(Officer)",Ordnance Experts,"Electronic 
Countermeasures",External Racks,,,,"Gozanti
Cruisers",Flight Commander,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,"TIE Interceptor 
(Ciena Ree)","TIE Fighter 
(Valen Rudor)","TIE Fighter 
(Black Squadron)",TIE Interceptor,,,,,,,,,,,,,,,50,399,
Rebel,Commander Sato,Advanced Gunnery,Planetary Ion Cannon,Infested Fields,"Nebulon-B
Support",Vanguard,Ahsoka Tano (reb),"Auxiliary 
Shield Teams",Ordnance Experts,,,,,,,,"Nebulon-B
Escort",Yavaris,Raymus Antilles,"Auxiliary 
Shield Teams",,,,,,,"Nebulon-B
Support",Redemption,Wedge Antilles (Officer),"Auxiliary 
Shield Teams",,,,,"Nebulon-B
Support",Salvation,"Auxiliary 
Shield Teams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,"Mandalorian Gauntlet
(Fenn Rau)","A-wing (Tycho 
Celchu)","Y-wing (Gold 
Squadron)",A-wing,A-wing,Y-wing,Y-wing,VCX-100 Freighter,,,,,,,,,,,109,399,
Empire,General Romodi,,,,"Interdictor
Suppression",Interdictor,Taskmaster Grint,Projection Experts,Proximity Mines,"G-8 Experimental
 Projector",Grav Shift Reroute,,,,,,"Onager Star 
Destroyer",Cataclysm,Governor Pryce,"Gunnery Chief 
Varnillian","Linked Turbolaser
Towers","Orbital Bombardment
Particle Cannons",,,,,Victory 1,Harrow,Hondo Ohnaka,Ordnance Experts,Projection Experts,Proximity Mines,External Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,0,392,
Rebel,Garm Bel Iblis,,,,"Pelta
Command",Phoenix Home,Ahsoka Tano (reb),Wedge Antilles (Officer),"Intensify
Firepower",,,,,,,,"MC30c
Torpedo",Foresight,Ezra Bridger,"Electronic 
Countermeasures","Assault Proton 
Torpedoes",XI7 Turbolasers,,,,,"Nebulon-B
Support",Redemption,Projection Experts,"Quad Battery 
Turrets",,,,,"Nebulon-B
Escort",Yavaris,Flight Commander,"Auxiliary 
Shield Teams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,"Mandalorian Gauntlet
(Fenn Rau)","Y-wing (Gold 
Squadron)",B-wing,B-wing,,,,,,,,,,,,,,,64,393,
Empire,Admiral Ozzel,,,,Gladiator 1,"Seventh Fleet Star
Destroyer","Darth Vader 
(Officer)",Projection Experts,,,,,,,,,"Onager Star 
Destroyer","Seventh Fleet Star
Destroyer",Governor Pryce,Sensor Team,"Orbital Bombardment
Particle Cannons",,,,,,ISD Kuat,"Seventh Fleet Star
Destroyer",Expert Shield Tech,Boarding Troopers,"Early Warning
System",Point Defense Ion Cannons,,,"Gozanti
Cruisers",Suppressor,"Emperor Palpatine
(Officer)",Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,
Rebel,Krysta Agate,Advanced Gunnery,Fighter Ambush,Superior Positions,Starhawk 1,Amity,Adar Tallon,Toryn Farr,Flight Controllers,"Expanded 
Hangar Bay",Leading Shots,XI7 Turbolasers,,,,,CR90-B,Tantive IV,Ahsoka Tano (reb),Projection Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,"X-wing (Hera 
Syndula)","X-wing (Biggs 
Darklighter)","Moldy Crow 
(Jan Ors)","Y-wing (Norra 
Wexley)",X-wing,X-wing,X-wing,X-wing,,,,,,,,,,,130,391,
Rebel,Leia Organa,Advanced Gunnery,Planetary Ion Cannon,Dangerous Territory,"MC80 Assault
Cruiser","Reinforced 
Blast Doors","Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,,"MC30c
Torpedo",Admonition,Skilled First Officer,Ordnance Experts,External Racks,,,,,,"Nebulon-B
Escort","Auxiliary 
Shield Teams",Heavy Fire Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,A-wing (Shara Bey),"X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)",A-wing,X-wing,X-wing,Z-95,Z-95,,,,,,,,,,,94,397,
Republic,Luminara Unduli,,,,Acclamator 1,Implacable,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,,,Venator 1,Tranquility,Veteran Gunners,SPHA-T,External Racks,Mercy Mission,,,,,Pelta Transport,Skilled First Officer,Projection Experts,Comms Net,,,,,Charger c70,Chart Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,"BTL-B Y-Wing
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)","V-19
(Kickback)",,,,,,,,,,,,,,,75,399,
Rebel,General Cracken,,,,"MC80 Battle
Cruiser",Liberty,Toryn Farr,Flight Controllers,Medical Team,SW-7 Ion Batteries,,,,,,,"MC30c
Scout",Ordnance Experts,External Racks,,,,,,,,"MC30c
Scout",External Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,"X-wing (Biggs 
Darklighter)","X-wing (Wedge 
Antilles)","Moldy Crow 
(Jan Ors)","X-wing (Rogue 
Squadron)",X-wing,X-wing,,,,,,,,,,,,,97,398,
Rebel,General Rieekan,Advanced Gunnery,Fleet Ambush,Dangerous Territory,"MC75 Ordnance
Cruiser",Profundity,Ordnance Experts,"Electronic 
Countermeasures","Assault Proton 
Torpedoes",External Racks,,,,,,,"Hammerhead
Torpedo",External Racks,,,,,,,,,"MC80 Battle
Cruiser",Mon Karren,Chart Officer,Local Fire Control,"Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,"Millennium Falcon 
(Lando Calrissian)",A-wing,A-wing,YT-2400,YT-2400,,,,,,,,,,,,,,77,399,
Empire,Admiral Ozzel,,,,ISD 1,Captain Needa,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,,,Gladiator 2,Demolisher,Agent Kallus,Ordnance Experts,"Fighter Coordination 
Team",External Racks,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)","Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,"TIE Interceptor 
(Ciena Ree)","TIE Fighter 
(Valen Rudor)","Slave I 
(Hondo Ohnaka)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Fighter,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,,,,,,,,134,399,
Republic,Luminara Unduli,,,,Venator 2,Tranquility,Expert Shield Tech,Flight Controllers,Flag Bridge,Thermal Shields,External Racks,"Linked Turbolaser
Towers",Mercy Mission,,,,Pelta Medical,Clone Navigation Officer,"Fighter Coordination 
Team","Expanded 
Hangar Bay","Bomber Command 
Center",,,,,,"Consular Armed
Cruiser",Radiant VII,Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)",BTL-B Y-Wing,BTL-B Y-Wing,ARC-170,ARC-170,ARC-170,,,,,,,,,,,129,399,
Separatist,Kraken,,,,"Munificent-class
Star Frigate",Sa Nalaor,Wat Tambor,Projection Experts,Thermal Shields,"Linked Turbolaser
Towers",,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Rune Haako,Veteran Gunners,"Linked Turbolaser
Towers",,,,,,"Hardcell-class
Transport",Tikkes,Slicer Tools,,,,,,"Hardcell-class
Transport",,,,,,,"Hardcell-class
Transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,0,392,
Separatist,TF-1726,,,,"Providence-class 
Carrier",Rune Haako,Thermal Shields,B2 Rocket Troopers,External Racks,Point Defense Ion Cannons,"Linked Turbolaser
Towers","Intensify
Firepower",,,,,"Munificent-class
Comms Frigate",Skilled First Officer,Projection Experts,B2 Rocket Troopers,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Linked Turbolaser
Towers",,,,,,Gozanti (CIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,"Belbullab-22
(Wat Tambor)",Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,42,398,
Rebel,Admiral Raddus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,0,26,
Rebel,Admiral Raddus,,,,"MC30c
Torpedo",Foresight,Expert Shield Tech,Ordnance Experts,"Electronic 
Countermeasures",External Racks,,,,,,,"MC75 Armored
Cruiser",Raymus Antilles,Boarding Troopers,"Electronic 
Countermeasures","Quad Battery 
Turrets",Leading Shots,External Racks,,,,"GR-75 Medium
Transports",Bright Hope,Hondo Ohnaka,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"E-wing (Corran 
Horn)","Outrider (Dash 
Rendar)",YT-2400,YT-2400,,,,,,,,,,,,,118,400,
Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,
Rebel,Krysta Agate,,,,"MC30c
Torpedo",Foresight,Expert Shield Tech,Ordnance Experts,"Electronic 
Countermeasures",External Racks,H9 Turbolasers,,,,,,"MC30c
Torpedo",Admonition,Walex Blissex,Ordnance Experts,Advanced Projectors,External Racks,H9 Turbolasers,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,,,,,,"GR-75 Medium
Transports",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Y-wing (Dutch 
Vander)","X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)",YT-2400,YT-2400,,,,,,,,,,,130,398,
